phase,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,hip_q,knee_q
0.75,0.0,1.0892,0.2588253532362259,0.5297731535561214,-0.0718919916547252,0.07934726865575331,0.43333333333333335,1.0666666666666667
0.76,0.0,1.0892,0.2955179019956307,0.5482581088507742,0.027614911023602084,0.05786497326643392,0.5,1.0
0.77,0.0,1.0892,0.29889299498913957,0.5501156489505356,0.08728385241987976,0.03293191875293677,0.50625,0.8946249999999998
0.78,0.0,1.0892,0.3022564125130379,0.5519942469642118,0.14957506137405469,0.014457415654603345,0.5125000000000001,0.7892499999999997
0.79,0.0,1.0892,0.3056080231842563,0.5538938295093068,0.2137549200218983,0.0026947298733900338,0.51875,0.6838749999999997
0.8,0.0,1.0892,0.30894769608092904,0.555814322383619,0.27906615558232184,0.0,0.5250000000000001,0.5784999999999995
0.81,0.0,1.0892,0.31227530074750826,0.5577556505681397,0.34473726466475135,0.0,0.53125,0.47312499999999924
0.82,0.0,1.0892,0.3155907071998599,0.5597177382299835,0.4099921147136473,0.008949352917776432,0.5375000000000001,0.3677500000000003
0.83,0.0,1.0892,0.3188937859303408,0.5617005087253505,0.4740596030790546,0.024875575261402827,0.54375,0.2623750000000002
0.84,0.0,1.0892,0.3221844079128583,0.5637038846025206,0.5361832534847788,0.04750437463192281,0.55,0.157
0.85,0.0,1.0892,0.31889378593034085,0.5617005087253506,0.5257099943770127,0.04258154748068299,0.5437500000000001,0.16462500000000002
0.86,0.0,1.0892,0.31559070719985977,0.5597177382299834,0.5151844638084062,0.037779262619219156,0.5375,0.17225
0.87,0.0,1.0892,0.31227530074750826,0.5577556505681397,0.5046081812175753,0.033098140291114464,0.53125,0.17987500000000003
0.88,0.0,1.0892,0.30894769608092904,0.555814322383619,0.4939826739218457,0.028538780588428736,0.525,0.1875
0.89,0.0,1.0892,0.3056080231842563,0.5538938295093068,0.4833094768430975,0.024101763347935568,0.51875,0.19512500000000005
0.9,0.0,1.0892,0.30225641251303786,0.5519942469642118,0.47259013223222046,0.019787648051132867,0.5125,0.20275000000000004
0.91,0.0,1.0892,0.2988929949891396,0.5501156489505357,0.4618261893922294,0.01559697372804647,0.5062500000000001,0.21037500000000003
0.92,0.0,1.0892,0.2955179019956307,0.5482581088507742,0.45101920440009347,0.011530258864847154,0.5,0.21800000000000003
0.93,0.0,1.0892,0.2921312653716521,0.5464216992248516,0.44017073982733324,0.0075880013152964665,0.49375,0.22562500000000008
0.94,0.0,1.0892,0.28873321740726626,0.5446064918072854,0.42928236445943657,0.00377067821603716,0.48750000000000004,0.23324999999999999
0.95,0.0,1.0892,0.2853238908382898,0.5428125575043843,0.4183556530141477,7.874590574630247e-05,0.48125000000000007,0.240875
0.96,0.0,1.0892,0.28190341884110814,0.5410399663914791,0.4073921858586823,0.0,0.47500000000000003,0.2485
0.97,0.0,1.0892,0.2784719350274739,0.5392887877101846,0.3963935487259239,0.0,0.46875000000000006,0.256125
0.98,0.0,1.0892,0.2750295734392871,0.5375590898656956,0.38536133242965187,0.0,0.4625,0.26375
0.99,0.0,1.0892,0.2715764685433596,0.5358509404241139,0.37429713257885966,0.0,0.45625,0.27137500000000003
