phase,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,hip_q,knee_q,passive_ankle_q,toe_x_sim,toe_y_sim
0.31,0.0,1.0892,-0.0077047993505259,0.4728481556229688,-0.2960098612354262,0.0,-0.0125,0.5296000000000001,0.36939520115077934,-0.05859508375532452,-0.04141525605466898
0.32,0.0,1.0892,-0.0154083948418286,0.4729926149676569,-0.304718055051014,0.0,-0.025,0.5192,0.36974051115966533,-0.06737631396137278,-0.0418317814172155
0.33,0.0,1.0892,-0.0231095828027857,0.4732333554625857,-0.3134225654811234,0.0,-0.0375,0.5088,0.37001430703000177,-0.07615761349079267,-0.04226514588908979
0.34,0.0,1.0892,-0.0308071599384461,0.4735703394925428,-0.3221221848061531,0.0,-0.05,0.4984,0.3702721661005945,-0.08493549370411776,-0.04270214940805263
0.35,0.0,1.0892,-0.0384999235180431,0.4740035144044588,-0.3308157058763319,0.0,-0.0624999999999999,0.488,0.37052961380153504,-0.09370809829751547,-0.043139105556907344
0.36,0.0,1.0892,-0.0461866715629183,0.4745328125156353,-0.3395019222996624,0.0,-0.075,0.4776,0.34949683343054255,-0.10345559151251468,-0.04861203268661394
0.37,0.0,1.0892,-0.0538662030343284,0.4751581511243191,-0.3481796286297474,0.0001454696996125,-0.0875,0.4672,0.3481028556568666,-0.11230458767001181,-0.0492910052176291
0.38,0.0,1.0892,-0.0615373180211048,0.475879432522625,-0.3568476205534688,0.0014858562399737,-0.1,0.4568,0.3422670109611283,-0.12137232304976475,-0.04982091003448622
0.39,0.0,1.0892,-0.0691988179271378,0.4766965440118017,-0.3655046950784913,0.0029241649461084,-0.1125,0.4464,0.33425667533169395,-0.13056015227346016,-0.050760672821504184
0.4,0.0,1.0892,-0.0768495056586543,0.4776093579198416,-0.3741496507205593,0.0044602654065301,-0.125,0.436,0.3264609953002877,-0.13974785053989836,-0.051546841928749206
0.41,0.0,1.0892,-0.0844881858112615,0.4786177316214286,-0.38278128769056,0.0060940122472299,-0.1374999999999999,0.4256,0.3192066617522146,-0.14891364445311386,-0.05210328534091076
0.42,0.0,1.0892,-0.0921136648567265,0.4797215075602236,-0.3913984080813227,0.0078252451539744,-0.15,0.4152,0.31217690055581204,-0.1580718315551993,-0.052504753077411925
0.43,0.0,1.0892,-0.0997247513294624,0.4809205132734815,-0.3999998160541237,0.0096537888969343,-0.1625,0.4048,0.3052453150977267,-0.16722762376079567,-0.05278102907315286
0.44,0.0,1.0892,-0.1073202560126925,0.482214561418999,-0.4085843180248701,0.0115794533576445,-0.175,0.3944,0.2983616435182153,-0.17638240512115025,-0.05294396598644559
